id,date,rxl,cid,lac,rnc
27744,1259994540774,-93,16537,27,0
27745,1259994541106,-93,16537,27,0
27746,1259994541446,-93,16537,27,0
27747,1259994541774,-93,16537,27,0
27748,1259994542116,-93,16537,27,0
27749,1259994542447,-93,16537,27,0
27750,1259994542774,-93,16537,27,0
27751,1259994543116,-93,16537,27,0
27752,1259994543456,-93,16537,27,0
27753,1259994543787,-93,16537,27,0
27754,1259994544127,-93,16537,27,0
27755,1259994544456,-93,16537,27,0
27756,1259994544787,-93,16537,27,0
27757,1259994545126,-93,16537,27,0
27758,1259994545466,-93,16537,27,0
27759,1259994545797,-93,16537,27,0
27760,1259994546126,-93,16537,27,0
27761,1259994546466,-93,16537,27,0
27762,1259994546796,-93,16537,27,0
27763,1259994547137,-93,16537,27,0
27764,1259994547466,-93,16537,27,0
27765,1259994547797,-93,16537,27,0
27766,1259994548136,-93,16537,27,0
27767,1259994548476,-93,16537,27,0
27768,1259994548806,-93,16537,27,0
27769,1259994549146,-93,16537,27,0
27770,1259994549476,-93,16537,27,0
27771,1259994549816,-93,16537,27,0
27772,1259994550146,-93,16537,27,0
27773,1259994550486,-93,16537,27,0
27774,1259994550816,-93,16537,27,0
27775,1259994551156,-93,16537,27,0
27776,1259994551486,-93,16537,27,0
27777,1259994551826,-93,16537,27,0
27778,1259994552157,-93,16537,27,0
27779,1259994552496,-93,16537,27,0
27780,1259994552826,-93,16537,27,0
27781,1259994553157,-93,16537,27,0
27782,1259994553496,-93,16537,27,0
27783,1259994553884,-93,16537,27,0
27784,1259994554226,-93,16537,27,0
27785,1259994554556,-93,16537,27,0
27786,1259994554886,-93,16537,27,0
27787,1259994555227,-93,16537,27,0
27788,1259994555556,-93,16537,27,0
27789,1259994556124,-93,16537,27,0
27790,1259994556226,-93,16537,27,0
27791,1259994556556,-93,16537,27,0
27792,1259994556897,-93,16537,27,0
27793,1259994557226,-93,16537,27,0
27794,1259994557556,-93,16537,27,0
27795,1259994557896,-93,16537,27,0
27796,1259994558226,-93,16537,27,0
27797,1259994558567,-93,16537,27,0
27798,1259994558896,-93,16537,27,0
27799,1259994559237,-93,16537,27,0
27800,1259994559566,-93,16537,27,0
27801,1259994559896,-93,16537,27,0
27802,1259994560237,-93,16537,27,0
27803,1259994560567,-93,16537,27,0
27804,1259994560906,-93,16537,27,0
27805,1259994561234,-93,16537,27,0
27806,1259994561576,-93,16537,27,0
27807,1259994561906,-93,16537,27,0
27808,1259994562237,-93,16537,27,0
27809,1259994562751,-93,16537,27,0
27810,1259994562907,-93,16537,27,0
27811,1259994563247,-93,16537,27,0
27812,1259994563576,-93,16537,27,0
27813,1259994563906,-93,16537,27,0
27814,1259994564246,-93,16537,27,0
27815,1259994564576,-93,16537,27,0
27816,1259994564916,-93,16537,27,0
27817,1259994565246,-93,16537,27,0
27818,1259994565577,-93,16537,27,0
27819,1259994565917,-93,16537,27,0
27820,1259994566246,-93,16537,27,0
27821,1259994566576,-93,16537,27,0
27822,1259994566917,-93,16537,27,0
27823,1259994567246,-93,16537,27,0
27824,1259994567586,-93,16537,27,0
27825,1259994567934,-93,16537,27,0
27826,1259994568277,-93,16537,27,0
